post_num,shortcode,links,img_url,timestamp,num_comments,num_likes,caption
13,BeJGUtDFsWblAu20x_ueoDuUEIVIaxfvr6QYNI0,https://www.instagram.com/p/BeJGUtDFsWblAu20x_ueoDuUEIVIaxfvr6QYNI0/?taken-by=h.raisi89,https://scontent-frx5-1.cdninstagram.com/vp/c01a3da2e29151535a5047b2b648a9fc/5BFFF708/t51.2885-15/e35/26266343_567394240264455_961389607000211456_n.jpg,1516389379,2,113,Music expresses that which cannot be put into words and that which cannot remain silent
12,BIvMbjpgUbxJrsOjdUgsrLnGhPsNYPHpE8igK40,https://www.instagram.com/p/BIvMbjpgUbxJrsOjdUgsrLnGhPsNYPHpE8igK40/?taken-by=h.raisi89,https://scontent-frx5-1.cdninstagram.com/vp/7ab2059d74de42f65fad583283392afc/5CA6D953/t51.2885-15/e35/13732155_150787808688865_1793076690_n.jpg,1470422419,0,167,
11,BHptCe6gjbgDpI1Yy_kI4V-yiYQquGEd1QZ_yU0,https://www.instagram.com/p/BHptCe6gjbgDpI1Yy_kI4V-yiYQquGEd1QZ_yU0/?taken-by=h.raisi89,https://scontent-frx5-1.cdninstagram.com/vp/eabf38fd9e3213cff096a98e2e423ead/5CB1E3B6/t51.2885-15/e35/13584274_1184436278273873_2115795597_n.jpg,1468090705,1,171,فرايند دانلود در ايران ...
10,BCTVtJ8OU4bcfVOh9RydNmvul6B2xSObsKIi2g0,https://www.instagram.com/p/BCTVtJ8OU4bcfVOh9RydNmvul6B2xSObsKIi2g0/?taken-by=h.raisi89,https://scontent-frx5-1.cdninstagram.com/vp/e699b014ecc0457aa23787ad3324b6bd/5C98BAC4/t51.2885-15/e35/12677695_568465133329084_1690170979_n.jpg,1456602856,1,284,انتخابات تمام شد  امروز  رفتگرها ،  وعده ها را از خیابان ها جمع خواهند کرد...
9,-E9C4nOU1fIsvzKVYPHtTs_CFwY3LZ4Wk4NFo0,https://www.instagram.com/p/-E9C4nOU1fIsvzKVYPHtTs_CFwY3LZ4Wk4NFo0/?taken-by=h.raisi89,https://scontent-frx5-1.cdninstagram.com/vp/7c3383ea049bcf8a60d7e7178fc1d477/5C795EC4/t51.2885-15/e35/11899684_732485516895891_1395716919_n.jpg,1447530230,0,297,
8,9ot0ouOU9GpOrgolZoMSjYNqGfBxhp9LRnwu40,https://www.instagram.com/p/9ot0ouOU9GpOrgolZoMSjYNqGfBxhp9LRnwu40/?taken-by=h.raisi89,https://scontent-frx5-1.cdninstagram.com/vp/0873f85248dee046095ab7408f05d71d/5C773F3D/t51.2885-15/e35/11910370_1041903525872925_1277877880_n.jpg,1446582725,9,1379,چارلی چاپلین می گوید: با پدرم سیرک رفته بودیم توی صف خرید بلیط زن وشوهری با چهار فرزندشان جلوی ما بودند که با هیجان زیادی در مورد شعبده بازی هایی که قرار بود ببینند، صحبت می کردند. وقتی به باجه بلیط فروشی رسیدند، متصدی باجه، قیمت بلیط ها را به آنها اعلام کرد. ناگهان رنگ صورت مرد تغییرکرد و نگاهی به همسرش انداخت. معلوم بود که مرد پول کافی نداشت و نمی دانست چه بکند و به بچه هایی که با آن علاقه پشت او ایستاده بودند چه بگوید.ناگهان پدرم دست در جیبش برد و یک اسکناس صد دلاری بیرون آورد و روی زمین انداخت. سپس خم شد و پول را از زمین برداشت به شانه مرد زد و گفت: ببخشید آقا، این پول از جیب شما افتاد! مرد که متوجه موضوع شده بود، همان طور که بهت زده به پدرم نگاه می کرد گفت: متشکرم آقا. مرد شریفی بود ولی درآن لحظه برای اینکه پیش بچه ها شرمنده نشود، کمک پدرم را قبول کرد بعد از این که آنها داخل سیرک شدند، من و پدرم آهسته از صف خارج شدیم و به طرف خانه برگشتیم و من در دلم به داشتن چنین پدری افتخار کردم. ” آن سیرک زیباترین سیرکی بود که به عمرم نرفته بودم ” “ثروتمند زندگی کنیم به جای آنکه ثروتمند بمیریم
7,83qntIuUxMYE0zTRqnMv_MbKPkpVbMYMOFQRo0,https://www.instagram.com/p/83qntIuUxMYE0zTRqnMv_MbKPkpVbMYMOFQRo0/?taken-by=h.raisi89,https://scontent-frx5-1.cdninstagram.com/vp/0b2d14a64f575b12c39da6c6bd51aed3/5CA81BF0/t51.2885-15/e35/12135443_720402461398558_446350068_n.jpg,1444936879,3,400,
6,7YQpBkuU-FPSD43nKw7pCcyy1QD5fri5oC8x40,https://www.instagram.com/p/7YQpBkuU-FPSD43nKw7pCcyy1QD5fri5oC8x40/?taken-by=h.raisi89,https://scontent-frx5-1.cdninstagram.com/vp/1012c80ac2f8796dc5d0a9cb1240c9fd/5C99348C/t51.2885-15/e35/11371018_409233172604827_122087811_n.jpg,1441735587,15,387,من از عقل جن نيز فرسنگها دورم.
5,6aS2JDOU7hJOh87FY8x7es0o-88Z0CqQ2FL1I0,https://www.instagram.com/p/6aS2JDOU7hJOh87FY8x7es0o-88Z0CqQ2FL1I0/?taken-by=h.raisi89,https://scontent-frx5-1.cdninstagram.com/vp/7cb8157101c94719551f34848a887291/5CACB654/t51.2885-15/e35/11324911_838331852901963_495654877_n.jpg,1439656369,2,158,
4,5C0F2uuU46KMyn5RbnfB806Uo3uPqLbN2yje80,https://www.instagram.com/p/5C0F2uuU46KMyn5RbnfB806Uo3uPqLbN2yje80/?taken-by=h.raisi89,https://scontent-frx5-1.cdninstagram.com/vp/b20939cf517ec5d40fe30488b378147b/5CA79CA4/t51.2885-15/e35/11287844_1749090521984666_1212734088_n.jpg,1436721009,3,160,قناتِ قریحه بی اب شد چاره ای نیست در میان سطرهایمان جز قناعت همگی دست به دعا کمی واژه کمی باران کمی عشق تا لم یزرعه ذوقمان نمناک شود...
3,2mA7eZOU4PR4RrazWbMVgywXaedj1yBO0i1S80,https://www.instagram.com/p/2mA7eZOU4PR4RrazWbMVgywXaedj1yBO0i1S80/?taken-by=h.raisi89,https://scontent-frx5-1.cdninstagram.com/vp/d6fd2f49e2fbe59cdefc900fd30e537e/5C943836/t51.2885-15/e15/11236361_1440707729577461_671686541_n.jpg,1431459694,4,139,
2,1sr-ZlOU_Fl9P0EW_7aAsz6qcIR_GBDc_vT8c0,https://www.instagram.com/p/1sr-ZlOU_Fl9P0EW_7aAsz6qcIR_GBDc_vT8c0/?taken-by=h.raisi89,https://scontent-frx5-1.cdninstagram.com/vp/b8ffeb42501494ee79984883b0ec508b/5C99D3F7/t51.2885-15/e15/11116608_339790789565594_1443619745_n.jpg,1429536105,8,139,
1,0u6AGeOU9SJJULHpU_lNlAQugYope1NP25avk0,https://www.instagram.com/p/0u6AGeOU9SJJULHpU_lNlAQugYope1NP25avk0/?taken-by=h.raisi89,https://scontent-frx5-1.cdninstagram.com/vp/94057e82880d62d01e3dd9c1ea8d3881/5CA25F1E/t51.2885-15/e15/11055872_1414446932195376_1090724359_n.jpg,1427463084,3,141,
